	t	x	y
	207	9.75533e+06	2105.77
	208	9.75015e+06	2149.04
	209	9.74485e+06	2193.11
	210	9.73945e+06	2238
	211	9.73394e+06	2283.71
	212	9.72832e+06	2330.27
	213	9.72259e+06	2377.67
	214	9.71675e+06	2425.94
	215	9.71079e+06	2475.08
	216	9.70471e+06	2525.1
	217	9.69851e+06	2576.02
	218	9.6922e+06	2627.85
	219	9.68575e+06	2680.59
	220	9.67919e+06	2734.27
	221	9.67249e+06	2788.88
	222	9.66567e+06	2844.45
	223	9.65871e+06	2900.98
	224	9.65162e+06	2958.48
	225	9.6444e+06	3016.97
	226	9.63703e+06	3076.45
	227	9.62953e+06	3136.94
	228	9.62188e+06	3198.44
	229	9.61409e+06	3260.96
	230	9.60616e+06	3324.53
	231	9.59807e+06	3389.13
	232	9.58983e+06	3454.79
	233	9.58145e+06	3521.51
	234	9.5729e+06	3589.31
	235	9.5642e+06	3658.19
	236	9.55534e+06	3728.15
	237	9.54632e+06	3799.22
	238	9.53713e+06	3871.39
	239	9.52778e+06	3944.67
	240	9.51826e+06	4019.07
	241	9.50856e+06	4094.6
	242	9.4987e+06	4171.26
	243	9.48866e+06	4249.06
	244	9.47844e+06	4328.01
	245	9.46805e+06	4408.1
	246	9.45747e+06	4489.35
	247	9.4467e+06	4571.76
	248	9.43576e+06	4655.33
	249	9.42462e+06	4740.06
	250	9.41329e+06	4825.97
	251	9.40178e+06	4913.04
	252	9.39006e+06	5001.29
	253	9.37815e+06	5090.71
	254	9.36604e+06	5181.3
	255	9.35373e+06	5273.06
	256	9.34122e+06	5366
	257	9.3285e+06	5460.1
	258	9.31558e+06	5555.38
	259	9.30245e+06	5651.82
	260	9.28911e+06	5749.42
	261	9.27555e+06	5848.17
	262	9.26178e+06	5948.08
	263	9.2478e+06	6049.13
	264	9.2336e+06	6151.33
	265	9.21917e+06	6254.65
	266	9.20453e+06	6359.1
	267	9.18967e+06	6464.66
	268	9.17458e+06	6571.32
	269	9.15926e+06	6679.08
	270	9.14372e+06	6787.92
	271	9.12795e+06	6897.83
	272	9.11195e+06	7008.79
	273	9.09572e+06	7120.79
	274	9.07926e+06	7233.82
	275	9.06256e+06	7347.86
	276	9.04563e+06	7462.88
	277	9.02846e+06	7578.89
	278	9.01106e+06	7695.85
	279	8.99342e+06	7813.74
	280	8.97555e+06	7932.55
	281	8.95744e+06	8052.25
	282	8.93908e+06	8172.82
	283	8.92049e+06	8294.24
	284	8.90166e+06	8416.47
	285	8.88259e+06	8539.51
	286	8.86327e+06	8663.31
	287	8.84372e+06	8787.86
	288	8.82393e+06	8913.12
	289	8.8039e+06	9039.07
	290	8.78362e+06	9165.67
	291	8.76311e+06	9292.9
	292	8.74236e+06	9420.73
	293	8.72137e+06	9549.11
	294	8.70014e+06	9678.02
	295	8.67867e+06	9807.43
	296	8.65696e+06	9937.29
	297	8.63502e+06	10067.6
	298	8.61285e+06	10198.3
	299	8.59043e+06	10329.3
	300	8.56779e+06	10460.6
	301	8.54492e+06	10592.3
	302	8.52181e+06	10724.1
	303	8.49848e+06	10856.2
	304	8.47491e+06	10988.4
	305	8.45113e+06	11120.7
	306	8.42712e+06	11253.1
	307	8.40289e+06	11385.6
	308	8.37843e+06	11518
	309	8.35377e+06	11650.4
	310	8.32888e+06	11782.7
	311	8.30379e+06	11914.9
	312	8.27848e+06	12046.9
	313	8.25296e+06	12178.7
	314	8.22725e+06	12310.2
	315	8.20132e+06	12441.5
	316	8.1752e+06	12572.3
	317	8.14889e+06	12702.8
	318	8.12237e+06	12832.9
	319	8.09567e+06	12962.5
	320	8.06879e+06	13091.6
	321	8.04171e+06	13220.1
	322	8.01446e+06	13348.1
	323	7.98703e+06	13475.4
	324	7.95943e+06	13602
	325	7.93166e+06	13727.9
	326	7.90372e+06	13853
	327	7.87562e+06	13977.3
	328	7.84737e+06	14100.8
	329	7.81896e+06	14223.4
	330	7.7904e+06	14345
	331	7.76169e+06	14465.7
	332	7.73284e+06	14585.4
	333	7.70385e+06	14704.1
	334	7.67473e+06	14821.7
	335	7.64548e+06	14938.2
	336	7.61611e+06	15053.6
	337	7.58661e+06	15167.8
	338	7.557e+06	15280.8
	339	7.52728e+06	15392.5
	340	7.49745e+06	15503
	341	7.46752e+06	15612.1
	342	7.43748e+06	15720
	343	7.40736e+06	15826.5
	344	7.37715e+06	15931.6
	345	7.34685e+06	16035.2
	346	7.31647e+06	16137.5
	347	7.28602e+06	16238.3
	348	7.25549e+06	16337.6
	349	7.2249e+06	16435.4
	350	7.19425e+06	16531.7
	351	7.16354e+06	16626.4
	352	7.13278e+06	16719.5
	353	7.10197e+06	16811.1
	354	7.07112e+06	16901.1
	355	7.04023e+06	16989.4
	356	7.00931e+06	17076.1
	357	6.97835e+06	17161.2
	358	6.94737e+06	17244.6
	359	6.91637e+06	17326.4
	360	6.88535e+06	17406.4
	361	6.85433e+06	17484.8
	362	6.82329e+06	17561.5
	363	6.79225e+06	17636.5
	364	6.76121e+06	17709.8
	365	6.73018e+06	17781.3
	366	6.75179e+06	12537.6
	367	6.77199e+06	12628.9
	368	6.79083e+06	12720.6
	369	6.80831e+06	12812.8
	370	6.82446e+06	12905.5
	371	6.8393e+06	12998.5
	372	6.85287e+06	13091.8
	373	6.86518e+06	13185.4
	374	6.87626e+06	13279.3
	375	6.88614e+06	13373.3
	376	6.89484e+06	13467.6
	377	6.9024e+06	13561.9
	378	6.90884e+06	13656.3
	379	6.91418e+06	13750.8
	380	6.91845e+06	13845.2
	381	6.92168e+06	13939.7
	382	6.9239e+06	14034
	383	6.92514e+06	14128.2
	384	6.92541e+06	14222.2
	385	6.92475e+06	14316
	386	6.92318e+06	14409.6
	387	6.92073e+06	14502.8
	388	6.91742e+06	14595.8
	389	6.91327e+06	14688.4
	390	6.90832e+06	14780.5
	391	6.90259e+06	14872.3
	392	6.8961e+06	14963.5
	393	6.88887e+06	15054.3
	394	6.88092e+06	15144.5
	395	6.87229e+06	15234.1
	396	6.86299e+06	15323.1
	397	6.85304e+06	15411.4
	398	6.84246e+06	15499.1
	399	6.83128e+06	15586
	400	6.81951e+06	15672.2
	401	6.80718e+06	15757.6
	402	6.7943e+06	15842.2
	403	6.78089e+06	15925.9
	404	6.76698e+06	16008.8
	405	6.75257e+06	16090.8
	406	6.73769e+06	16171.9
	407	6.72236e+06	16252.1
	408	6.70658e+06	16331.2
	409	6.69039e+06	16409.4
	410	6.67378e+06	16486.6
	411	6.65679e+06	16562.7
	412	6.63941e+06	16637.8
	413	6.62168e+06	16711.8
	414	6.6036e+06	16784.6
	415	6.58519e+06	16856.4
	416	6.56646e+06	16927.1
	417	6.54742e+06	16996.5
	418	6.52809e+06	17064.9
	419	6.50848e+06	17132
	420	6.4886e+06	17197.9
	421	6.46846e+06	17262.7
	422	6.44808e+06	17326.2
	423	6.42747e+06	17388.5
	424	6.40663e+06	17449.5
	425	6.38559e+06	17509.3
	426	6.36434e+06	17567.8
	427	6.3429e+06	17625.1
	428	6.32128e+06	17681.1
	429	6.2995e+06	17735.8
	430	6.27755e+06	17789.2
	431	6.25544e+06	17841.3
	432	6.2332e+06	17892.1
	433	6.21082e+06	17941.6
	434	6.18831e+06	17989.9
	435	6.16568e+06	18036.8
	436	6.14295e+06	18082.4
	437	6.12011e+06	18126.7
	438	6.09718e+06	18169.7
	439	6.07416e+06	18211.4
	440	6.05106e+06	18251.8
	441	6.02789e+06	18290.9
	442	6.00465e+06	18328.7
	443	5.98135e+06	18365.2
	444	5.958e+06	18400.5
	445	5.9346e+06	18434.4
	446	5.91116e+06	18467.1
	447	5.88769e+06	18498.5
	448	5.86418e+06	18528.6
	449	5.84066e+06	18557.5
	450	5.81711e+06	18585.1
	451	5.79355e+06	18611.5
	452	5.76998e+06	18636.7
	453	5.74641e+06	18660.6
	454	5.72284e+06	18683.3
	455	5.69927e+06	18704.8
	456	5.67572e+06	18725.1
	457	5.65218e+06	18744.3
	458	5.62866e+06	18762.2
	459	5.60516e+06	18779
	460	5.5817e+06	18794.6
